"Years","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Border apprehensions (People)","22199","12735","16393","23566","32711","20880","22276","22735","20949","10319","11016","11728","13054","12851","12037","10492","11294","11784","11175","31175","69164","99591","193657","192779","288253","468339","509040","528815","835311","1028246","225186","68420","46225","40504","32996","28966","29384","29897","38861","42879","52422","79610","94778","123519","172391","231116","302517","396495","498123","634777","596796","696039","812541","862837","888729","759420","825290","819919","1105670","1138566","1262435","1692544","1158030","969214","891147","1103353","1132033","1199560","1263490","1031668","1324202","1549876","1412953","1555776","1579010","1676438","1266214","955310","931557","1160395","1189075","1089092","876704","723825","556041","463382","340252","364768","420789","486651","337117","415816","310531","404142","859501","405036","1662167","2214652","2063692"
"    By location of apprehension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Coastal Border (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20651","18158","15014","16335","11154","10336","10521","11687","10895","8370","8220","6552","3685","3162","3942","3158","4663","3588","3247","3585","2230","2045",,
"        Northern Border (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12108","12338","10487","10157","9959","7343","6599","6378","7925","6806","7431","6123","4210","3230","3338","2626","2283","3027","4316","4408","2155","916",,
"        Southwest Border (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1643679","1235718","929809","905065","1139282","1171396","1071972","858639","705005","540865","447731","327577","356873","414397","479371","331333","408870","303916","396579","851508","400651","1659206",,
"    By country of origin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        From Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1636883","1224046","917993","882012","1085006","1023905","981066","808688","661766","503386","404365","286154","265755","267734","229178","188122","192969","130454","155452","169536","254647","608502",,
"        From other countries (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39555","42167","37317","49545","75389","165170","108026","68016","62059","52655","59017","54098","99013","153055","257473","148995","222847","180077","248690","689965","150389","1053665",,

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Customs and Border Protection","US Border Patrol Apprehensions From Mexico and Other Than Mexico","","https://www.cbp.gov/newsroom/media-resources/stats?title=Border+Patrol","https://www.cbp.gov/sites/default/files/assets/documents/2020-Jan/U.S.%20Border%20Patrol%20Total%20Monthly%20Family%20Unit%20Apprehensions%20by%20Sector%20%28FY%202013%20-%20FY%202019%29_0.pdf","2020","Yearly "
"Exported on: 04/08/2024"
